stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA1;21/04/2024  11h00;12°C;13,8°C;21,4;21,4;21,7
Sonde SA3;21/04/2024  11h00;12°C;13,7°C;21,6;0,2;22,5
Sonde SA1;21/04/2024  12h00;13.2°C;13,9°C;21,4;21,4;21,7
Sonde SA3;21/04/2024  12h00;13.2°C;13,8°C;21,6;0,2;22,6
Sonde SA1;21/04/2024  13h00;13.6°C;13,9°C;21,5;21,5;21,8
Sonde SA3;21/04/2024  13h00;13.6°C;13,9°C;21,6;0,2;22,4
Sonde SA1;21/04/2024  14h00;13.8°C;13,9°C;21,5;21,5;21,6
Sonde SA3;21/04/2024  14h00;13.8°C;14°C;21,7;0,2;22,7
Sonde SA1;21/04/2024  15h00;13.7°C;14°C;21,6;21,5;21,6
Sonde SA3;21/04/2024  15h00;13.7°C;14,1°C;21,9;0,2;22
